epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time
57,0.07285605597496032,0.97638,0.21792506167888642,0.934,0.010000000000000002,11.643068313598633
58,0.06582539733052253,0.9779,0.21465087146759032,0.9339,0.010000000000000002,11.64134669303894
59,0.06202439937353134,0.97936,0.21793556036949158,0.9358,0.010000000000000002,12.01303768157959
60,0.05834566444635391,0.98066,0.21849235491752625,0.933,0.010000000000000002,11.898126602172852
61,0.051410830319523815,0.98324,0.22693601112365722,0.9317,0.010000000000000002,11.969056606292725
62,0.0478295122385025,0.98426,0.22805468657016753,0.9344,0.010000000000000002,11.948386907577515
63,0.04555851123809814,0.9855,0.21913252348899842,0.9361,0.010000000000000002,12.116194486618042
64,0.04247359878480434,0.98604,0.2352701462984085,0.9321,0.010000000000000002,12.030345439910889
65,0.03872820888161659,0.98766,0.23059121458530427,0.9361,0.010000000000000002,11.873405456542969
66,0.04012754347920418,0.98688,0.22965893988609315,0.9348,0.010000000000000002,12.070859670639038
67,0.03847714112281799,0.98792,0.2612497326850891,0.9298,0.010000000000000002,11.895364761352539
68,0.038271865564584735,0.98738,0.24985045580863952,0.9325,0.010000000000000002,11.839255332946777
69,0.03731187174618244,0.98782,0.24453360614776612,0.9337,0.010000000000000002,11.964275360107422
70,0.03583538384914398,0.9883,0.25058748269081116,0.9319,0.010000000000000002,11.653775930404663
71,0.03705298507198691,0.9877,0.27839627928733823,0.9258,0.010000000000000002,11.944315910339355
72,0.03899730514466763,0.98716,0.24694717454910278,0.9329,0.010000000000000002,12.142825841903687
73,0.038581825177669525,0.98722,0.26221694822311403,0.9291,0.010000000000000002,11.71168327331543
74,0.03804549494385719,0.98772,0.27126931109428404,0.9246,0.010000000000000002,12.149820327758789
75,0.040684637064933776,0.98682,0.24797131662368774,0.9287,0.010000000000000002,11.535877704620361
76,0.023879968002438544,0.99306,0.21303229846954347,0.9411,0.0010000000000000002,11.534557342529297
77,0.016139665381014346,0.99578,0.21072009837627412,0.9413,0.0010000000000000002,12.054359436035156
78,0.013977497424185276,0.9965,0.210840469288826,0.9407,0.0010000000000000002,11.825049638748169
79,0.011664045814275742,0.99746,0.2112360417366028,0.9423,0.0010000000000000002,12.48703646659851
80,0.010593259470313787,0.99784,0.2133005999326706,0.9426,0.0010000000000000002,11.568804264068604
81,0.010110242230296135,0.9977,0.21406218950748443,0.9417,0.0010000000000000002,11.817564249038696
82,0.009186148316264152,0.99826,0.21234858467578888,0.9417,0.0010000000000000002,11.795128583908081
83,0.00890067813962698,0.99852,0.21014884700775147,0.9423,0.0010000000000000002,11.92109727859497
84,0.007994686845615506,0.9985,0.21383577575683593,0.9441,0.0010000000000000002,12.445683479309082
85,0.008301729589402675,0.99834,0.21357756524086,0.943,0.0010000000000000002,12.57620096206665
86,0.006891331923007965,0.99904,0.21282069854736327,0.9428,0.0010000000000000002,12.472869396209717
87,0.007132864904105664,0.99872,0.21340792806148529,0.9436,0.0010000000000000002,12.646099328994751
88,0.006651635978221894,0.99896,0.21380389280319215,0.9434,0.0010000000000000002,11.68304181098938
89,0.006614597944021225,0.99888,0.21391396994590758,0.9437,0.0010000000000000002,12.287375450134277
90,0.006242479835152626,0.9992,0.2131158702135086,0.9444,0.0010000000000000002,11.89268684387207
91,0.006407592418640852,0.99892,0.21263094544410704,0.9453,0.0010000000000000002,11.890750169754028
92,0.005933756763339042,0.9992,0.21465954728126527,0.9445,0.0010000000000000002,11.838326692581177
93,0.005896583910658956,0.9991,0.21488859405517577,0.9445,0.0010000000000000002,11.652618885040283
94,0.0057588085359334944,0.99916,0.2155937122821808,0.9442,0.0010000000000000002,12.141082286834717
95,0.005345173425674438,0.99936,0.21585885138511657,0.9437,0.0010000000000000002,12.092520475387573
96,0.005047503959238529,0.99942,0.21495327653884888,0.9439,0.0010000000000000002,11.804394006729126
97,0.0050469701206684115,0.99948,0.21745685591697692,0.9441,0.0010000000000000002,11.732109546661377
98,0.005016139689087868,0.9993,0.21418161222934723,0.9437,0.0010000000000000002,11.826364517211914
99,0.005081016163639724,0.9993,0.21522687454223632,0.9454,0.0010000000000000002,11.890876770019531
100,0.004972998962700367,0.99918,0.21522587752342223,0.9446,0.0010000000000000002,11.677307605743408
